stimulusValue,stimulusValueType,stimulusType,correctResponse,keyCode,response
As,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
crowd,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
applauded,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
actress,text,ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
twirled,text,disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
her,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
hair,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
around,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
her,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
finger.,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
Did the actress play with her hair?,text,Question-GP-no_comma-factual,Yes,ArrowLeft,Yes
While,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
penguins,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
raced,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
zookeeper,text,ambiguity-GP-no_comma-good_enough,Continue,ArrowRight,Continue
tidied,text,disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
up,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
messy,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
enclosure.,text,post_disambiguation-GP-no_comma-good_enough,Continue,ArrowRight,Continue
Did the penguins race the zookeeper?,text,Question-GP-no_comma-good_enough,No,ArrowRight,No
Once,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
security,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
guard,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
checked,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
student,text,ambiguity-GP-no_comma-factual,Continue,ArrowRight,Continue
hoisted,text,disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
the,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
cooler,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
on,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
his,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
back.,text,post_disambiguation-GP-no_comma-factual,Continue,ArrowRight,Continue
Did the student hoist a grill?,text,Question-GP-no_comma-factual,No,ArrowRight,No
After,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
manager,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
interrupted,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
the,text,pre_ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
engineer,text,ambiguity-GP-comma-factual,Continue,ArrowRight,Continue
wailed,text,disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
that,text,post_disambiguation-GP-comma-factual,Continue,ArrowRight,Continue
